Date,Time,Height(m),State
09-02-2021,16:53,11.16,LW
10-02-2021,23:01,5.07,LW
10-02-2021,05:18,11.55,HW
10-02-2021,11:29,4.76,LW
10-02-2021,17:44,11.60,HW
11-02-2021,23:48,4.67,LW
11-02-2021,06:05,11.99,HW
11-02-2021,12:13,4.38,LW
11-02-2021,18:28,11.95,HW
12-02-2021,00:30,4.34,LW
12-02-2021,06:46,12.32,HW
12-02-2021,12:53,4.10,LW
12-02-2021,19:06,12.20,HW
13-02-2021,01:07,4.13,LW
13-02-2021,07:23,12.51,HW
13-02-2021,13:29,3.98,LW
13-02-2021,19:42,12.28,HW
14-02-2021,01:42,4.08,LW
14-02-2021,07:58,12.52,HW
14-02-2021,14:03,4.03,LW
14-02-2021,20:16,12.20,HW
15-02-2021,02:16,4.18,LW
15-02-2021,08:31,12.36,HW
15-02-2021,14:37,4.21,LW
15-02-2021,20:49,12.00,HW
16-02-2021,02:49,4.39,LW
16-02-2021,09:04,12.08,HW
16-02-2021,15:10,4.50,LW
