Date,Time,Height(m),State
25-10-2022,19:12,12.72,LW
26-10-2022,00:16,3.70,LW
26-10-2022,06:30,12.72,HW
26-10-2022,12:31,3.64,LW
26-10-2022,18:47,12.90,HW
27-10-2022,00:50,3.58,LW
27-10-2022,07:05,12.86,HW
27-10-2022,13:08,3.57,LW
27-10-2022,19:24,12.86,HW
28-10-2022,01:27,3.66,LW
28-10-2022,07:43,12.77,HW
28-10-2022,13:48,3.73,LW
28-10-2022,20:05,12.58,HW
29-10-2022,02:08,3.97,LW
29-10-2022,08:25,12.45,HW
29-10-2022,14:32,4.11,LW
29-10-2022,20:49,12.07,HW
30-10-2022,02:53,4.46,LW
30-10-2022,09:11,11.95,HW
30-10-2022,15:21,4.63,LW
30-10-2022,21:38,11.46,HW
31-10-2022,03:44,5.04,LW
31-10-2022,10:04,11.35,HW
31-10-2022,16:20,5.25,LW
31-10-2022,22:39,10.77,HW
01-11-2022,04:48,5.68,LW
01-11-2022,11:12,10.75,HW
01-11-2022,17:36,5.78,LW
